date,new_leaf,mature_leaf,senesced_leaf,DAP (d)
2022-04-26,9.571428571428571,8.028571428571428,0,35
2022-04-28,10.742857142857142,9.114285714285714,0.08571428571428572,37
2022-05-03,13.6,11.714285714285714,0.8285714285714286,42
2022-05-05,15.17142857142857,13.028571428571428,1.2,44
2022-05-10,18.02857142857143,16.142857142857142,2.4285714285714284,49
2022-05-12,19.685714285714287,17.514285714285716,2.5714285714285716,51
2022-05-17,23.257142857142856,21.228571428571428,4.3428571428571425,56
2022-05-19,24.942857142857143,22.542857142857144,7,58
2022-05-24,28.057142857142857,25.571428571428573,7.914285714285715,63
2022-05-26,29.085714285714285,26.37142857142857,8.257142857142858,65
