time,initial_leaf_ratio,potential_leaf_area_increase (cm²),shoot_carbon (g d⁻¹),root_carbon (g d⁻¹),leaf_carbon (g d⁻¹),stem_carbon (g d⁻¹),nonstructural_carbon_mass (g),agefn,initial_seed_mass (g),seed_mass_export_limit (% d⁻¹),seed_mass_export_rate (g d⁻¹),seed_mass (g),initial_leaf_mass (g),active_leaf_mass (g),dropped_leaf_mass (g),total_leaf_mass (g),root_mass (g),leaf_mass (g),stem_mass (g),shoot_mass (g),total_mass (g),living_root_mass (g),living_leaf_mass (g),living_stem_mass (g),living_shoot_mass (g),living_total_mass (g),potential_carbon_demand (g),PD (m⁻²),leaf_area (cm²),green_leaf_area (cm²),green_leaf_ratio,LAI,actual_green_leaf_area (cm²),senescent_leaf_area (cm²),potential_leaf_area (cm²),dropped_leaf_area (cm²),leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation (g d⁻¹),dp,C_conc,carbon_reserve_from_seed (g d⁻¹),carbon_reserve (g),carbon_translocation (g d⁻¹),carbon_pool (g),nonstructural_carbon (g),carbon_supply (g d⁻¹),carbon_temperature_effect,carbon_growth_factor (hr⁻¹),carbon_translocating,carbon_translocation_rate (hr⁻¹),carbon_supply_rate (hr⁻¹),Rm (d⁻¹),maintenance_respiration (g d⁻¹),carbon_available (g d⁻¹),Yg,total_carbon (g d⁻¹),water_supply (g hr⁻¹),CO2_weight (g mol⁻¹),C_weight (g mol⁻¹),CH2O_weight (g mol⁻¹),H2O_weight (g mol⁻¹),CH2O_to_C_ratio,PD0 (m⁻²),CDSF (K⁻¹),CDCT (°C),enable_cold_damage,CDM (d⁻¹),CDS,leaf_width (cm),LWP (MPa),evapotranspiration_supply (mol m⁻² s⁻¹),LAI_sunlit,LAI_shaded,Q_sun (μmol m⁻² s⁻¹),Q_sh (μmol m⁻² s⁻¹),A_gross (μmol m⁻² s⁻¹),A_net (μmol m⁻² s⁻¹),ET (mmol m⁻² s⁻¹),gross_assimilation (g d⁻¹),net_assimilation (g d⁻¹),transpiration (g d⁻¹),vapor_pressure_deficit (kPa),conductance (mol bar⁻¹ m⁻² s⁻¹),SLA (cm² g⁻¹),LMA (g cm⁻²),DAP (d),date
2022-10-12T12:00:00.000+08:00,0.126,1.7462721909972565,0.3643109107851162,0.06429016072678521,0.25716064290714086,0.10715026787797535,0.14537897960992313,0.916795125231632,0.001,10.0,7.282400063670616e-6,7.436351411224294e-5,0.000126,0.0,0.0,0.0,0.3614538684669627,1.4458154738678508,0.6024231141116048,2.0483129514935676,2.4097668199605304,0.33137914460662693,1.3255165784265077,0.5522985743443785,1.8778895162849985,2.209268660891625,0.008731360954986283,54.99999999997447,476.8790006122905,437.2003430866804,0.916795125231632,2.404601886975626,437.2003430866804,39.67865752561015,1467.543755747672,1030.3434126609918,24,14,3,11,3,11,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.2529784173484309,vegetative,0.45,8.19385967016423e-6,0.0010414884385142305,0.0,0.16253301275621387,0.1635745011947281,0.7640072010526316,0.9792974620159416,0.2,false,0.0,0.19585949240318834,0.039,0.15171995603562963,0.612287245017002,0.7,0.4286010715119014,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.3461471927118129e-17,0.9999999999995358,1.5,0.0,0.0,1.2058727605692767,1.198729126406349,377.4767358854218,110.98273396512323,26.559674198594983,23.554469798139923,4.22957941962625,1.2529784173484309,1.1112049819766252,119.69865036943558,1.1077323303215412,0.22875942364134322,329.8339305613752,0.0030318287700055796,36,2022-10-12
2022-10-13T12:00:00.000+08:00,0.126,1.4490252565164894,0.10185853633820709,0.017975035824389484,0.07190014329755794,0.029958393040649144,0.0644188868215807,0.9222527363615046,0.001,10.0,6.205424494967467e-6,6.903688502353038e-5,0.000126,0.0,0.0,0.0,0.384996746286623,1.539986985146492,0.6416612438110387,2.181717265842554,2.566714012129177,0.355064302753114,1.420257211012456,0.591773837921857,2.0121000858193367,2.367164388572451,0.007245126282582447,54.99999999997386,510.3543927938822,470.67573526827204,0.9222527363615046,2.588716543974266,470.67573526827204,39.67865752561015,1562.1674579236574,1091.4917226553853,25,15,4,11,3,12,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.49752947067150566,vegetative,0.45,6.982090665303904e-6,0.0010474817444142532,0.0,0.071434023543579,0.07248150528799326,0.3082028554355465,0.898856385662885,0.2,false,0.0,0.179771277132577,0.039,0.13701203806040851,0.17119081737513797,0.7,0.11983357216259657,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.2398141482060276e-16,0.9999999999995247,1.5,0.0,0.0,1.2345802217541433,1.3541363222201226,109.66583770682223,31.512013704928208,10.546247614702388,7.698044618574676,1.7373046649014832,0.49752947067150566,0.3631627289829354,49.16635982865886,0.6084689764954747,0.1398311400717673,331.4017571033787,0.0030174855098552065,37,2022-10-13
2022-10-14T12:00:00.000+08:00,0.126,1.7079137276926752,0.15708840431138482,0.02772148311377379,0.11088593245509516,0.04620247185628965,0.08380297808570082,0.9265706138633711,0.001,10.0,5.855660143413204e-6,6.41431368833599e-5,0.000126,0.0,0.0,0.0,0.3947952042382493,1.5791808169529973,0.6579920070637496,2.2372369671536303,2.6320321713918795,0.36580563474134964,1.4632225389653986,0.6096760579022501,2.072962740004532,2.4387683747458815,0.008539568638463377,54.999999999973234,540.3648268525725,500.68616932696233,0.9265706138633711,2.7537739312969527,500.68616932696233,39.67865752561015,1562.1674579236574,1061.481288596695,25,15,3,12,3,12,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.6697249471585807,vegetative,0.45,6.5885500757723434e-6,0.0010529879903182267,0.0,0.09323870655714835,0.09429169454746657,0.408566867918227,0.9129051723898909,0.2,false,0.0,0.1825810344779782,0.039,0.14455274302514323,0.26401412489308373,0.7,0.1848098874251586,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,9.105208212963983e-17,0.9999999999995134,1.5,0.0,0.0,1.2552470998622025,1.4985268314347502,148.4444769400268,41.79943658643544,14.196315078471386,11.107287874796743,2.169329691478202,0.6697249471585807,0.5239970896605642,61.392826688956276,0.6576626196144352,0.1550943097213012,342.1804653726717,0.00292243450809178,38,2022-10-14
2022-10-15T12:00:00.000+08:00,0.126,1.6714287866143767,0.10110080287293928,0.017841318154048106,0.07136527261619242,0.029735530256746846,0.06640383971278535,0.9310438224551956,0.001,10.0,5.247564432780871e-6,5.961688963886387e-5,0.000126,0.0,0.0,0.0,0.40512595682158425,1.620503827286337,0.6752099280359742,2.29577337221195,2.7008993290335344,0.3771900194149863,1.5087600776599452,0.628650032358311,2.137469726907895,2.5146597463228813,0.008357143933071883,54.99999999997255,575.4184605118071,535.7398029861969,0.9310438224551956,2.946568916422612,535.7398029861969,39.67865752561015,1657.5532091770328,1121.8134061908358,26,16,4,12,3,13,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.1395188682490303,vegetative,0.45,5.9043455723962014e-6,0.0010580807391962906,0.0,0.07365681262144011,0.0747148933606364,0.31120217574770365,0.8802143930299942,0.2,false,0.0,0.17604287860599885,0.039,0.1412848599948645,0.16991731575283914,0.7,0.11894212102698738,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.8240539843635936e-16,0.999999999999501,1.5,0.0,0.0,1.27596824757655,1.6706006688460622,26.272813408321316,7.226689543560945,2.957413818102789,-0.21141470546095975,1.2774265554831437,0.1395188682490303,-0.009973693994585238,36.151640498318436,0.5249645869599183,0.09995634805901929,355.086147173988,0.002816218002190921,39,2022-10-15
2022-10-16T12:00:00.000+08:00,0.126,1.6805400442202727,0.03332328852025376,0.005880580327103605,0.02352232130841442,0.009800967211839342,0.0427909583326857,0.9345443097579418,0.001,10.0,4.813377294182414e-6,5.5423517516694044e-5,0.000126,0.0,0.0,0.0,0.40794414484661223,1.631776579386449,0.6799069080776874,2.311738910981653,2.719683055828265,0.38124187926547104,1.5249675170618842,0.6354031321091187,2.1604260726885194,2.5416679519539906,0.008402700221101364,54.99999999997189,606.1911100299558,566.5124525043456,0.9345443097579418,3.1158184887723084,566.5124525043456,39.67865752561015,1753.52164612053,1187.0091936161843,27,16,3,13,3,13,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0380458813760533,vegetative,0.45,5.4158159045448175e-6,0.0010627989505570272,0.0,0.04708384290711971,0.04814664185767674,0.19627679557831149,0.868471997060198,0.2,false,0.0,0.1736943994120396,0.039,0.14027126865351525,0.05600552692479624,0.7,0.03920386884735737,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,2.300810582232149e-16,0.999999999999489,1.5,0.0,0.0,1.2895408818840324,1.826277606888276,6.796709065206551,1.8320347622565571,0.80646737402287,-2.4997779168926653,1.0459559936276037,0.0380458813760533,-0.1179294502865765,29.60093861864765,0.42288068152607106,0.096,371.4914882881116,0.0026918517153869384,40,2022-10-16
2022-10-17T12:00:00.000+08:00,0.126,1.8046806403253353,0.2120432446458581,0.03741939611397496,0.14967758445589985,0.06236566018995827,0.10298305221276433,0.9309117139683363,0.001,10.0,4.751292963927863e-6,5.1527022419210466e-5,0.000126,0.0,0.0,0.0,0.4058552482228706,1.6234209928914825,0.6764254137047852,2.299897933618687,2.7057531818415574,0.37781540474619707,1.5112616189847883,0.6296923412436625,2.1410054872508697,2.5188208919970667,0.009023403201626676,54.99999999997126,642.5789001820118,598.184225328325,0.9309117139683363,3.290013239304069,598.184225328325,44.39467485368667,1753.52164612053,1155.337420792205,27,17,4,13,3,14,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.918085627549409,vegetative,0.45,5.345961147133219e-6,0.0010671831279923671,0.0,0.11480514891349453,0.11587233204148689,0.5081353004884013,0.9220973269661457,0.2,false,0.0,0.18441946539322915,0.039,0.15176009940292545,0.3563752010854758,0.7,0.24946264075983307,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,7.362846280661942e-17,0.9999999999994774,1.5,0.0,0.0,1.300525291628093,1.9894879476759761,193.76556731489802,51.16356979143679,19.460874039415103,15.714054486813609,2.7656794141689502,0.918085627549409,0.7413257773341757,78.26974277736277,0.6628025979484233,0.16644943364951675,395.81778417039664,0.0025264150323511167,41,2022-10-17
2022-10-18T12:00:00.000+08:00,0.126,1.696362147060793,0.12788366161966608,0.022567704991705777,0.09027081996682311,0.03761284165284296,0.07618025877392734,0.9242322885719501,0.001,10.0,4.310516373600215e-6,4.790851533707236e-5,0.000126,0.0,0.0,0.0,0.4217292871328025,1.68691714853121,0.7028821452213384,2.3898472022678856,2.811576489400688,0.3897758242045671,1.5591032968182683,0.6496263736742793,2.2087775790078847,2.5985534032124518,0.008481810735303965,54.99999999997055,674.8682114712964,623.734991572575,0.9242322885719501,3.430542453647326,623.734991572575,51.133219898721315,1849.899206232047,1226.1642146594718,28,17,3,14,3,14,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.7792302014568164,vegetative,0.45,4.850017296828215e-6,0.001071254524645573,0.0,0.08464366700848035,0.08571492153312592,0.3655546342803433,0.8997390846434077,0.2,false,0.0,0.17994781692868156,0.039,0.1506241105498121,0.2149305237305312,0.7,0.15045136661137185,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.2166017093245219e-16,0.9999999999994645,1.5,0.0,0.0,1.3055510096881844,2.1249914439591415,154.93367140426102,40.24615592514786,16.517523358618142,12.770757294171165,2.9694239876185873,0.7792302014568164,0.6024728745972021,84.03578900618118,0.7522832877220251,0.14861734262577775,400.06008123096063,0.002499624548700437,42,2022-10-18
2022-10-19T12:00:00.000+08:00,0.126,1.9019750814190777,0.12134756702946722,0.02141427653461186,0.08565710613844744,0.03569046089101977,0.07386093722317742,0.9187406673961036,0.001,10.0,4.07985615599591e-6,4.45252868854114e-5,0.000126,0.0,0.0,0.0,0.4294503289258201,1.7178013157032803,0.7157505482097014,2.433596389199867,2.863046718125687,0.39455348181078415,1.5782139272431366,0.6575891363513081,2.23584758888133,2.6304010706921144,0.009509875407095388,54.999999999969916,712.3513149028638,654.466122474349,0.9187406673961036,3.599563673606951,654.466122474349,57.88519242851471,1849.899206232047,1195.433083757698,28,18,4,14,3,15,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.2286836305399733,vegetative,0.45,4.590487823300968e-6,0.0010750611953753658,0.0,0.08203025428058845,0.08310531547596382,0.3607891098099292,0.9163009250217014,0.2,false,0.0,0.18326018500434027,0.039,0.15684361900410188,0.2039454908058273,0.7,0.1427618435640791,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,8.427048405741838e-17,0.999999999999453,1.5,0.0,0.0,1.3110704193968505,2.2884932542101004,262.98684013171,66.9924964872333,26.04469196631905,22.023456561127162,3.901497961391871,1.2286836305399733,1.0389779460459307,110.41382465375648,0.7960621179493491,0.18293823674978066,414.687838687108,0.0024114524389381095,43,2022-10-19
2022-10-20T12:00:00.000+08:00,0.126,1.7217173383440822,0.23277657620389475,0.04107821933009907,0.1643128773203963,0.06846369888349846,0.11146477018730885,0.9134062518835441,0.001,10.0,3.8561219950897165e-6,4.1355337513646087e-5,0.000126,0.0,0.0,0.0,0.441838987340243,1.767355949360972,0.7363983122337393,2.503795616932225,2.945634604272468,0.40357849336247203,1.6143139734498881,0.6726308222707876,2.2869861510581893,2.6905646444206615,0.008608586691720412,54.99999999996929,747.0523706030314,682.3623057932311,0.9134062518835441,3.752992681860676,682.3623057932311,64.69006480980029,1946.5180715253775,1264.1557657321464,29,18,3,15,3,15,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.3564078147666958,vegetative,0.45,4.338751266416002e-6,0.0010786278931792048,0.0,0.12433698743921463,0.12541561533239384,0.5564943681489336,0.9324363496773073,0.2,false,0.0,0.18648726993546147,0.039,0.16527323167179953,0.3912211364771341,0.7,0.27385479553399383,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,5.727886307433517e-17,0.9999999999994417,1.5,0.0,0.0,1.3133017865424694,2.4396908953182064,293.7187887537041,73.5241875449042,28.752091130880274,24.47735172943129,4.7979673877764375,1.3564078147666958,1.1547428331198815,135.78423853883072,0.9393645517104277,0.18525589328481076,422.6949137626437,0.0023657724932113354,44,2022-10-20
2022-10-21T12:00:00.000+08:00,0.126,2.077432008541275,0.6951519564843528,0.1226738746737093,0.4906954986948372,0.20445645778951552,0.25938294082098534,0.916251033510195,0.001,10.0,3.7430442367470165e-6,3.8373077996524936e-5,0.000126,0.0,0.0,0.0,0.4657553770767567,1.8630215083070267,0.7762589617945954,2.639318843179619,3.1050742202563755,0.4267488456095089,1.7069953824380355,0.711248076015849,2.418281831531881,2.84503067714139,0.010387160042706376,54.99999999996867,785.7709613478112,719.9634554372315,0.916251033510195,3.959799004902518,719.9634554372315,65.80750591057964,2043.2161155253775,1323.252660088146,30,19,4,15,4,15,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.2490818737421792,vegetative,0.45,4.2115207825678226e-6,0.001081983410010147,0.0,0.2907651273418823,0.29184711075189246,1.3613878783360844,0.9754349747721532,0.2,false,0.0,0.19508699495443066,0.039,0.1930652623959957,1.1683226159400888,0.7,0.8178258311580621,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.571525149926671e-17,0.9999999999994305,1.5,0.0,0.0,1.3170894766478312,2.6427095282546866,262.13173657661446,64.0988334643771,26.477078259787696,21.547750339559983,5.303307154118435,1.2490818737421792,1.0165360431760146,150.08553945032915,1.0812033538380856,0.16874656614807926,421.7723509063835,0.0023709472606514214,45,2022-10-21
2022-10-22T12:00:00.000+08:00,0.126,1.9648308413801479,0.9548822031295506,0.1685086240816854,0.6740344963267416,0.280847706802809,0.3556401231213779,0.9200506811332244,0.001,10.0,3.35348286758538e-6,3.5593060154408354e-5,0.000126,0.0,0.0,0.0,0.5204103696832546,2.0816414787330184,0.8673506161387587,2.9490276879319315,3.469438057615186,0.4788039150958715,1.915215660383486,0.7980065251597869,2.7132577786034275,3.192061693699299,0.00982415420690074,54.999999999967976,823.1152790712167,757.307773160637,0.9200506811332244,4.1651927523810786,757.307773160637,65.80750591057964,2043.2161155253775,1285.9083423647405,30,19,4,15,4,15,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.0025854978124003,vegetative,0.45,3.7732022112287754e-6,0.0010851113727531575,0.0,0.3990666567886484,0.4001517681614015,1.8047516329437827,0.9421732363099544,0.2,false,0.0,0.18843464726199088,0.039,0.1999075940705882,1.6048440388731946,0.7,1.123390827211236,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,4.455978068841982e-17,0.9999999999994178,1.5,0.0,0.0,1.3184131769537675,2.846779575427311,192.31887288671678,45.963306087211144,21.252037393015605,16.355673835845234,3.7408778781934666,1.0025854978124003,0.7715947930788634,105.86821733122979,0.7724759233155081,0.15226105096540374,395.4164477795677,0.0025289792713869825,46,2022-10-22
2022-10-23T12:00:00.000+08:00,0.126,1.9469216161520309,0.204220007385585,0.036038824832750296,0.14415529933100119,0.060064708054583825,0.1117907416534941,0.9235798700389599,0.001,10.0,3.0602889240333424e-6,3.307181438956745e-5,0.000126,0.0,0.0,0.0,0.5643787770607058,2.2575151082428233,0.9406312951011777,3.1981794751583905,3.7625582522190966,0.5212488775704738,2.084995510281895,0.8687481292841243,2.953776711380409,3.475025588950883,0.009734608080760154,54.99999999996729,861.1278984232175,795.3203925126379,0.9235798700389599,4.374262158816907,795.3203925126379,65.80750591057964,2139.8368532859163,1344.5164607732784,31,20,4,16,4,16,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.6675293526772401,vegetative,0.45,3.4433123385764684e-6,0.001087948175704174,0.0,0.12469443696156816,0.12578238513727233,0.5538507198817915,0.9253465467557518,0.2,false,0.0,0.18506930935115037,0.039,0.210623816712741,0.34322690316905047,0.7,0.2402588322183353,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,6.814458336365277e-17,0.9999999999994053,1.5,0.0,0.0,1.3178715017173603,3.0563906570995467,353.13932577092737,82.48485439308872,35.34700654894019,30.3634711555483,4.7130441580193025,1.6675293526772401,1.4324262319340197,133.38087995907358,0.7385939749373203,0.19743302109712413,381.4494508935941,0.002621579340741931,47,2022-10-23
2022-10-24T12:00:00.000+08:00,0.126,2.00374056466058,0.46619852540219403,0.08227032801215188,0.3290813120486075,0.13711721335358648,0.1965029043763708,0.9241861941241921,0.001,10.0,2.9800204695200603e-6,3.071490547846994e-5,0.000126,0.0,0.0,0.0,0.5851524421863442,2.340609768745377,0.9752540703105748,3.31589455396143,3.9010469961477745,0.5407898085266738,2.163159234106695,0.9013163475444573,3.064506296556631,3.605296105083305,0.0100187028233029,54.99999999996654,898.7583986317363,830.6201038686179,0.9241861941241921,4.568410571274619,830.6201038686179,68.13829476311852,2139.8368532859163,1309.2167494172984,31,20,4,16,4,16,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,1.6674236496034784,vegetative,0.45,3.352997545860826e-6,0.0010906000735268762,0.0,0.22000645710024788,0.22109705717377476,1.0245820163814259,0.9702196451846318,0.2,false,0.0,0.19404392903692635,0.039,0.24105508293236022,0.7835269334490657,0.7,0.5484688534143459,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.9053135360687755e-17,0.9999999999993916,1.5,0.0,0.0,1.3150468302643488,3.2533637410102703,352.6759842019861,80.67142062235762,35.34476593636249,29.784245500930957,7.1408990845827915,1.6674236496034784,1.4051006993019957,202.0900657126217,1.19757753026524,0.18019396998270545,383.9847251058396,0.002604270260293206,48,2022-10-24
2022-10-25T12:00:00.000+08:00,0.126,2.1776701965672776,0.5219394144344147,0.09210695548842614,0.36842782195370455,0.15351159248071022,0.2162892643838096,0.918866067111741,0.001,10.0,2.834512533515689e-6,2.851223661607617e-5,0.000126,0.0,0.0,0.0,0.6236770843833213,2.494708337533285,1.0394618073055366,3.5341986570754376,4.157875741458759,0.5730757096750199,2.2923028387000794,0.9551261827917008,3.2474575337283964,3.8205332434034163,0.010888350982836388,54.99999999996579,937.4808340692551,861.4193269938511,0.918866067111741,4.737806298463234,861.4193269938511,76.06150707540405,2236.229394210654,1374.810067216803,32,21,4,17,4,17,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,2.701034395615223,vegetative,0.45,3.1892779481882282e-6,0.0010930784267346781,0.0,0.24226678439721264,0.2433598628239473,1.156064878795939,0.9941389627488901,0.2,false,0.0,0.19882779254977803,0.039,0.2788557789061663,0.8772090998897728,0.7,0.6140463699228409,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,6.102702304937582e-18,0.9999999999993779,1.5,0.0,0.0,1.310173574514323,3.4276327239489106,735.7739411532343,165.31649455337143,57.254452713193615,51.15069275018002,11.612750131510982,2.701034395615223,2.413083593163841,328.6450920792499,1.5723415693908331,0.22610155366169696,375.7877504014022,0.002661076628846571,49,2022-10-25
2022-10-26T12:00:00.000+08:00,0.126,2.2297293920878847,0.6536467246657829,0.11534942199984402,0.4613976879993761,0.19224903666640672,0.2681334987603139,0.9139371410998856,0.001,10.0,2.6329433975352753e-6,2.6446622608188828e-5,0.000126,0.0,0.0,0.0,0.6726115052792291,2.6904460211169163,1.1210191754653833,3.8114916432049077,4.484103148484137,0.6147246362057892,2.458898544823157,1.0245410603429834,3.4834660517887484,4.098190687994538,0.011148646960439424,54.999999999965084,977.3923471498751,893.2751674870638,0.9139371410998856,4.913013421175732,893.2751674870638,84.11717966281137,2236.229394210654,1342.9542267235902,33,21,4,17,4,17,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,3.563579858221787,vegetative,0.45,2.962480573748561e-6,0.0010954025714075026,0.0,0.3005974792399727,0.3016928818113802,1.4364743536555533,0.9955688620595436,0.2,false,0.0,0.19911377241190875,0.039,0.33790842984751474,1.0985659238080385,0.7,0.7689961466656269,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.2531140256555235e-18,0.9999999999993652,1.5,0.0,0.0,1.304566071186855,3.608447349988877,1225.8244637938874,270.44313574494925,75.53802899121288,68.51101314122141,15.436649997257526,3.563579858221787,3.2320735629046577,436.86286213787884,1.7742514713307007,0.264554462514754,363.28264513707614,0.002752677600722362,50,2022-10-26
2022-10-27T12:00:00.000+08:00,0.126,2.2129416488821074,0.9064080248046236,0.15995435731846297,0.6398174292738519,0.26659059553077163,0.3450118834103359,0.9090349549664807,0.001,10.0,2.4461011817861373e-6,2.452116490401389e-5,0.000126,0.0,0.0,0.0,0.7287991471579389,2.9151965886317557,1.2146652452632332,4.1298863550598925,4.858685502217831,0.6625038999163265,2.650015599665306,1.1041731665272123,3.7542132873574223,4.416717187273749,0.011064708244410536,54.9999999999644,1015.5866089970972,923.203727374237,0.9090349549664807,5.0776205005550175,923.203727374237,92.38288162286008,2332.248397457379,1409.0446700831417,33,22,4,18,4,18,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,3.8603280824269555,vegetative,0.45,2.7522533295810213e-6,0.0010975690179211395,0.0,0.3870957371018811,0.38819330611980224,1.8535015158291293,0.9975468911698125,0.2,false,0.0,0.19950937823396253,0.039,0.33012668422471997,1.5233748316044093,0.7,1.0663623821230865,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,4.481831025125427e-18,0.9999999999993527,1.5,0.0,0.0,1.297933464926802,3.7796870356282155,1348.4915231451853,292.54031564166775,81.82826994410757,75.05924710884437,14.419117072513746,3.8603280824269555,3.5409928580674,408.06630680352913,1.4531335430488639,0.2857239129289793,348.37671426946946,0.0028704559146467516,51,2022-10-27
2022-10-28T12:00:00.000+08:00,0.126,2.1267947391478996,0.6429009088051616,0.11345310155385203,0.45381240621540814,0.1890885025897534,0.27393544523586244,0.9074592213529192,0.001,10.0,2.1227267672153194e-6,2.276537983477308e-5,0.000126,0.0,0.0,0.0,0.7913384377944891,3.1653537511779564,1.3188973963241502,4.4842739128819415,5.275612350676431,0.7181073625876225,2.87242945035049,1.1968456043127058,4.0692978200430305,4.787405182630653,0.010633973695739499,54.99999999996371,1058.1395377076706,960.2184809709406,0.9074592213529192,5.281201645336689,960.2184809709406,97.92105673673001,2427.7540297259984,1467.5355487550578,34,22,4,18,5,17,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.9328990695184971,vegetative,0.45,2.3884056213051252e-6,0.0010995445557029897,0.0,0.30712145090211246,0.30822099545781545,1.3745817820164676,0.9324363496773073,0.2,false,0.0,0.18648726993546147,0.039,0.2940760529321625,1.0805057290843052,0.7,0.7563540103590136,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,5.727886307433517e-17,0.9999999999993402,1.5,0.0,0.0,1.2914153560722557,3.9897862892644333,160.74970428218973,34.16087609610693,19.774878005491352,13.674628683330862,4.294963559405977,0.9328990695184971,0.6451138849578626,121.54904552952736,0.7845394999503199,0.1326168071681569,334.2879251059677,0.002991433207415448,52,2022-10-28
2022-10-29T12:00:00.000+08:00,0.126,1.9991507071460584,0.054297243466664,0.009581866494117177,0.03832746597646871,0.015969777490195295,0.07941717734770813,0.9106942014281877,0.001,10.0,1.8857735880684489e-6,2.1152345454030247e-5,0.000126,0.0,0.0,0.0,0.8248227621622612,3.299291048649045,1.3747046036037704,4.67401680459827,5.498839566760531,0.7511613067071525,3.00464522682861,1.251935511178589,4.256601890352654,5.007763197059806,0.009995753535730291,54.99999999996298,1096.4691912809008,998.5481345441707,0.9106942014281877,5.4920147399892425,998.5481345441707,97.92105673673001,2427.7540297259984,1429.2058951818276,34,22,3,19,5,17,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.6628639298351376,vegetative,0.45,2.121795563995239e-6,0.0011013594762296565,0.0,0.08825561087671066,0.08935697035294032,0.377671819746352,0.8915198516243713,0.2,false,0.0,0.17830397032487427,0.039,0.28641594837380746,0.09125587137254454,0.7,0.06387910996078118,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.0,0.9,-15.0,true,1.4473893536230878e-16,0.9999999999993269,1.5,0.0,0.0,1.2842734703182241,4.207741269671018,107.06369140851132,22.279694386063355,14.050880502534739,8.070702131232968,3.2110573155135134,0.6628639298351376,0.3807432089592408,90.87410089580843,0.6166608896592907,0.11753026361029177,332.3347880235877,0.0030090139101809116,53,2022-10-29
