Date,Initial_leaf,Mature_leaf,Senesced_leaf,DAP (d)
2022/10/7,11.66666667,9.966666667,0.066666667,31
2022/10/14,15.93333333,14.56666667,1.666666667,38
2022/10/21,19.53333333,17.8,4.8,45
2022/10/28,23.56666667,22.2,6.166666667,52
