Date,Initial_leaf,Mature_leaf,Senesced_leaf,DAP (d)
2022/10/7,11.66666667,10.23333333,0.1,31
2022/10/14,15.23333333,13.5,1.9,38
2022/10/21,18.6,17.56666667,4.533333333,45
2022/10/28,22.33333333,20.8,5.133333333,52
